W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , ,P, ,P, ,P, , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , , , , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, ,B, ,B, , , , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,W, , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,W, , , , , , , , , ,W, , , , , , , ,W,
 , ,B, ,B, , , , , , , , , , , , , , , , , , , , ,
W, , , , , ,W, , , , , , , , , ,W, , , , , , , ,W,
 , , , , , , , , , , ,S, , , , , , , , , , , , , ,
W, , , , , , , , , , , , , , , ,W, , , ,G, , , ,W,
 , , , , , , , , , , , , , , , , , , , , , , , , ,
F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F, ,F,